5A8	Aleknagik / New Airport	US
MKKJ	Ken Jones Airport	JM
MKTP	Tinson Pen Airport	JM
MMAA	Aeropuerto Internacional Juan N. Álvarez	MX
MMAN	Del Norte International Airport	MX
MMAS	Governor Jesús Terán Peredo International Airport	MX
MMBT	Bahías de Huatulco International Airport	MX
MMCB	Cuernavaca - General Mariano Matamoros Airport	MX
MMCE	Ciudad del Carmen International Airport	MX
MMCL	Bachigualato Federal International Airport	MX
MMCM	Chetumal International Airport	MX
MMCN	Ciudad Obregón International Airport	MX
MMCP	Ingeniero Alberto Acuña Ongay International Airport	MX
MMCS	Abraham González International Airport	MX
MMCT	Chichen Itza International Airport	MX
MMCU	General Roberto Fierro Villalobos International Airport	MX
MMCV	General Pedro Jose Mendez International Airport	MX
MMCY	Captain Rogelio Castillo National Airport	MX
MMCZ	Aeropuerto Internacional de Cozumel	MX
MMDA	Ciudad Constitución National Airport	MX
MMDO	Aeropuerto Internacional Gral, Guadalupe Victoria	MX
MMEP	Amado Nervo National Airport	MX
MMGL	Aeropuerto Internacional Miguel Hidalgo	MX
MMGM	General José María Yáñez International Airport	MX
MMHO	General Ignacio P. Garcia International Airport	MX
MMIA	Licenciado Miguel de la Madrid Airport	MX
MMIO	Plan De Guadalupe International Airport	MX
MMIT	Ixtepec Airport	MX
MMJA	El Lencero Airport	MX
MMLC	Lázaro Cárdenas Airport	MX
MMLM	Valle del Fuerte International Airport	MX
MMLO	Aeropuerto Internacional Del Bajío	MX
MMLP	Manuel Márquez de León International Airport	MX
MMLT	Loreto International Airport	MX
MMMA	General Servando Canales International Airport	MX
MMMD	Aeropuerto Internacional Manuel Crescencio Rejón	MX
MMML	General Rodolfo Sánchez Taboada International Airport	MX
MMMM	General Francisco J. Mujica International Airport	MX
MMMT	Minatitlán/Coatzacoalcos International Airport	MX
MMMV	Monclova International Airport	MX
MMMX	Aeropuerto Internacional Lic. Benito Juárez	MX
MMMY	Aeropuerto Internacional Gral. Mariano Escobedo	MX
MMMZ	Aeropuerto Internacional Gral. Rafael Buelna	MX
MMNL	Quetzalcóatl International Airport	MX
MMOX	Xoxocotlán International Airport	MX
MMPA	El Tajín National Airport	MX
MMPB	Hermanos Serdán International Airport	MX
MMPG	Piedras Negras International Airport	MX
MMPN	Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport	MX
MMPR	Aeropuerto Internacional Lic. Gustavo Díaz Ordaz	MX
MMPS	Puerto Escondido International Airport	MX
MMQT	Querétaro Intercontinental Airport	MX
MMRX	General Lucio Blanco International Airport	MX
MMSD	Aeropuerto Internacional de Los Cabos	MX
MMSL	Cabo San Lucas International Airport	MX
MMSM	General Felipe Ángeles International Airport	MX
MMSP	Ponciano Arriaga International Airport	MX
MMTB	Terán Air Base	MX
MMTC	Francisco Sarabia Tinoco International Airport	MX
MMTG	Angel Albino Corzo International Airport	MX
MMTJ	Aeropuerto Internacional Gral. Abelardo Rodriguez	MX
MMTM	General Francisco Javier Mina International Airport	MX
MMTO	Aeropuerto Internacional Adolfo López Mateos	MX
MMTP	Tapachula International Airport	MX
MMUN	Aeropuerto Internacional de Cancún	MX
MMVA	Carlos Rovirosa Pérez International Airport	MX
MMVR	General Heriberto Jara International Airport	MX
MMZC	General Leobardo C. Ruiz International Airport	MX
MMZH	Ixtapa Zihuatanejo International Airport	MX
MMZO	Playa De Oro International Airport	MX
MNBL	Bluefields Airport	NI
MNMG	Augusto C. Sandino (Managua) International Airport	NI
MNPC	Puerto Cabezas Airport	NI
MPBO	Bocas del Toro International Airport	PA
MPCE	Alonso Valderrama Airport	PA
MPCH	Changuinola Captain Manuel Niño International Airport	PA
MPDA	Enrique Malek International Airport	PA
MPEJ	Enrique Adolfo Jimenez Airport	PA
MPMG	Marcos A. Gelabert International Airport	PA
MPSA	Ruben Cantu Airport	PA
MPTO	Tocumen International Airport	PA
MRAO	Aerotortuguero Airport	CR
MRBA	Buenos Aires Airport	CR
MRBC	Barra del Colorado Airport	CR
MRCC	Coto 47 Airport	CR
MRGF	Golfito Airport	CR
MRGP	Guapiles Airport	CR
MRLB	Guanacaste Airport	CR
MRLC	Los Chiles Airport	CR
MRLM	Limon International Airport	CR
MRNS	Nosara Airport	CR
MROC	Juan Santamaría International Airport	CR
MRPJ	Puerto Jimenez Airport	CR
MRPM	Palmar Sur Airport	CR
MRPV	Tobías Bolaños International Airport	CR
MRQP	Quepos Managua Airport	CR
MRSV	San Vito De Java Airport	CR
MRUP	Upala Airport	CR
MSLP	Monseñor Óscar Arnulfo Romero International Airport	SV
MSSS	Ilopango International Airport	SV
MTCA	Les Cayes Airport	HT
MTCH	Cap Haitien International Airport	HT
MTJA	Jacmel Airport	HT
MTJE	Jérémie Airport	HT
MTPP	Toussaint Louverture International Airport	HT
MTPX	Port-de-Paix Airport	HT
MUBA	Gustavo Rizo Airport	CU
MUBY	Carlos Manuel de Cespedes Airport	CU
MUCA	Maximo Gomez Airport	CU
MUCC	Jardines Del Rey Airport	CU
MUCF	Jaime Gonzalez Airport	CU
MUCL	Vilo Acuña International Airport	CU
MUCM	Ignacio Agramonte International Airport	CU
MUCU	Antonio Maceo International Airport	CU
MUGM	Leeward Point Field	CU
MUGT	Mariana Grajales Airport	CU
MUHA	José Martí International Airport	CU
MUHG	Frank Pais International Airport	CU
MUKW	Kawama Airport	CU
MULM	La Coloma Airport	CU
MUMO	Orestes Acosta Airport	CU
MUMZ	Sierra Maestra International Airport	CU
MUNB	San Nicolás de Bari Airport	CU
MUNG	Rafael Cabrera Airport	CU
MUPB	Playa Baracoa Airport	CU
MUSC	Abel Santamaria Airport	CU
MUSJ	San Julián Air Base	CU
MUSN	Siguanea Airport	CU
MUTD	Alberto Delgado Airport	CU
MUVR	Juan Gualberto Gomez International Airport	CU
MUVT	Hermanos Ameijeiras Airport	CU
MWCB	Charles Kirkconnell International Airport	KY
MWCL	Edward Bodden Little Cayman Airfield	KY
MWCR	Owen Roberts International Airport	KY
MX-0424	Creel International Airport	MX
MYAB	Clarence A. Bain Airport	BS
MYAF	Andros Town Airport	BS
MYAK	Congo Town Airport	BS
MYAM	Leonard M Thompson International Airport	BS
MYAN	San Andros Airport	BS
MYAP	Spring Point Airport	BS
MYAT	Treasure Cay Airport	BS
MYBC	Chub Cay Airport	BS
MYBG	Great Harbour Cay Airport	BS
MYBS	South Bimini Airport	BS
MYCA	Arthur's Town Airport	BS
MYCB	New Bight Airport	BS
MYCI	Colonel Hill Airport	BS
MYEF	Exuma International Airport	BS
MYEH	North Eleuthera Airport	BS
MYEM	Governor's Harbour Airport	BS
MYEN	Normans Cay Airport	BS
MYER	Rock Sound Airport	BS
MYES	Staniel Cay Airport	BS
MYGF	Grand Bahama International Airport	BS
MYIG	Inagua Airport	BS
MYLD	Deadman's Cay Airport	BS
MYLR	Hard Bargain Airport	BS
MYLS	Stella Maris Airport	BS
MYMM	Mayaguana Airport	BS
MYNN	Lynden Pindling International Airport	BS
MYRD	Duncan Town Airport	BS
MYSM	San Salvador Airport	BS
MZBZ	Philip S. W. Goldson International Airport	BZ
NBS	Changbaishan Airport	CN
NCRG	Rarotonga International Airport	CK
NFFN	Nadi International Airport	FJ
NFNA	Nausori International Airport	FJ
NFNL	Labasa Airport	FJ
NFTF	Fua'amotu International Airport	TO
NFTL	Lifuka Island Airport	TO
NFTV	Vava'u International Airport	TO
NG-0003	Gombe Lawanti International Airport	NG
NG-QRW	Warri Airport	NG
NGFU	Funafuti International Airport	TV
NGTA	Bonriki International Airport	KI
NGTE	Tabiteuea North Airport	KI
NIUE	Niue International Airport	NU
NLH	Ninglang Luguhu Airport	CN
NLWF	Pointe Vele Airport	WF
NLWW	Hihifo Airport	WF
NP-0003	Pokhara International Airport	NP
NSFA	Faleolo International Airport	WS
NSFQ	Fitiuta Airport	AS
NSTU	Pago Pago International Airport	AS
NTAA	Faa'a International Airport	PF
NTAR	Rurutu Airport	PF
NTAT	Tubuai Airport	PF
NTGA	Anaa Airport	PF
NTGB	Fangatau Airport	PF
NTGC	Tikehau Airport	PF
NTGE	Reao Airport	PF
NTGF	Fakarava Airport	PF
NTGI	Manihi Airport	PF
NTGJ	Totegegie Airport	PF
NTGK	Kaukura Airport	PF
NTGM	Makemo Airport	PF
NTGP	Puka Puka Airport	PF
NTGT	Takapoto Airport	PF
NTGU	Arutua Airport	PF
NTGV	Mataiva Airport	PF
NTHE	Ahe Airport	PF
NTKR	Takaroa Airport	PF
NTMD	Nuku Hiva Airport	PF
NTMN	Hiva Oa-Atuona Airport	PF
NTTB	Bora Bora Airport	PF
NTTG	Rangiroa Airport	PF
NTTH	Huahine-Fare Airport	PF
NTTM	Moorea Temae Airport	PF
NTTO	Hao Airport	PF
NTTP	Maupiti Airport	PF
NTTR	Raiatea Airport	PF
NVSQ	Gaua Island Airport	VU
NVSS	Santo Pekoa International Airport	VU
NVVV	Bauerfield International Airport	VU
NVVW	Tanna Airport	VU
NWWA	Tiga Airport	NC
NWWC	Île Art - Waala Airport	NC
NWWD	Koné Airport	NC
NWWE	Île des Pins Airport	NC
NWWK	Koumac Airport	NC
NWWL	Lifou Airport	NC
NWWM	Nouméa Magenta Airport	NC
NWWR	Maré Airport	NC
NWWU	Touho Airport	NC
NWWV	Ouvéa Airport	NC
NWWW	La Tontouta International Airport	NC
NZAA	Auckland International Airport	NZ
NZAP	Taupo Airport	NZ
NZAR	Ardmore Airport	NZ
NZCH	Christchurch International Airport	NZ
NZCI	Chatham Islands / Tuuta Airport	NZ
NZDN	Dunedin International Airport	NZ
NZGS	Gisborne Airport	NZ
NZGT	Glentanner Airport	NZ
NZHK	Hokitika Airfield	NZ
NZHN	Hamilton International Airport	NZ
NZKK	Kerikeri Airport	NZ
NZKT	Kaitaia Airport	NZ
NZLX	Alexandra Aerodrome	NZ
NZMC	Mount Cook Airport	NZ
NZMO	Manapouri Airport	NZ
NZMS	Hood Airport	NZ
NZNP	New Plymouth Airport	NZ
NZNR	Hawke's Bay Airport	NZ
NZNS	Nelson Airport	NZ
NZNV	Invercargill Airport	NZ
NZOH	RNZAF Base Ohakea	NZ
NZOU	Oamaru Airport	NZ
NZPM	Palmerston North Airport	NZ
NZPP	Paraparaumu Airport	NZ
NZQN	Queenstown International Airport	NZ
NZRO	Rotorua Regional Airport	NZ
NZSP	South Pole Station Airport	AQ
NZTG	Tauranga Airport	NZ
NZTU	Timaru Airport	NZ
NZUK	Pukaki Airport	NZ
NZWB	Woodbourne Airport	NZ
NZWD	Williams Field	AQ
NZWF	Wanaka Airport	NZ
NZWK	Whakatane Airport	NZ
NZWN	Wellington International Airport	NZ
NZWO	Wairoa Airport	NZ
NZWP	RNZAF Base Auckland-Whenuapai	NZ
NZWR	Whangarei Airport	NZ
NZWS	Westport Airport	NZ
NZWU	Wanganui Airport	NZ
OAHR	Herat - Khwaja Abdullah Ansari International Airport	AF
OAIX	Bagram Airfield	AF
OAJL	Jalalabad Airport	AF
OAKB	Kabul International Airport	AF
OAKN	Ahmad Shah Baba International Airport / Kandahar Airfield	AF
OAMN	Maymana Zahiraddin Faryabi Airport	AF
OAMS	Mazar-i-Sharif International Airport	AF
OAUZ	Kunduz Airport	AF
OBBI	Bahrain International Airport	BH
OBBS	Sheik Isa Air Base	BH
OEAB	Abha International Airport	SA
OEAH	Al-Ahsa International Airport	SA
OEBA	King Saud Bin Abdulaziz (Al Baha) Airport	SA
OEBH	Bisha Airport	SA
OEDF	King Fahd International Airport	SA
OEDM	King Salman Abdulaziz Airport	SA
OEDR	King Abdulaziz Air Base	SA
OEGN	Jizan Regional Airport / King Abdullah bin Abdulaziz Airport	SA
OEGS	Gassim Airport	SA
OEGT	Gurayat Domestic Airport	SA
OEHL	Ha'il Airport	SA
OEJB	Jubail Airport	SA
OEJF	King Faisal Naval Base	SA
OEJN	King Abdulaziz International Airport	SA
OEKK	King Khaled Military City Airport	SA
OEKM	King Khalid Air Base	SA
OEMA	Prince Mohammad Bin Abdulaziz Airport	SA
OENG	Najran Domestic Airport	SA
OENN	Neom Bay Airport	SA
OEPA	Al Qaisumah/Hafr Al Batin Airport	SA
OEPS	Prince Sultan Air Base	SA
OERF	Rafha Domestic Airport	SA
OERK	King Khaled International Airport	SA
OERM	Ras Mishab Airport	SA
OERR	Arar Domestic Airport	SA
OERT	Ras Tanura Airport	SA
OERY	Riyadh Air Base	SA
OESH	Sharurah Domestic Airport	SA
OESK	Al-Jawf Domestic Airport	SA
OETB	Tabuk Airport	SA
OETF	Ta’if Regional Airport	SA
OETN	Ras Tanajib Airport	SA
OETR	Turaif Domestic Airport	SA
OEWD	Wadi Al Dawasir Domestic Airport	SA
OEWJ	Al Wajh Domestic Airport	SA
OEYN	Yanbu Airport / Prince Abdul Mohsin bin Abdulaziz international Airport	SA
OIAA	Abadan Airport	IR
OIAD	Dezful Airport	IR
OIAG	Aghajari Airport	IR
OIAH	Gachsaran Airport	IR
OIAI	Shahid Asiyaee Airport	IR
OIAM	Mahshahr Airport	IR
OIAW	Lieutenant General Qasem Soleimani International Airport	IR
OIBA	Abu Musa Island Airport	IR
OIBB	Bushehr Airport	IR
OIBJ	Jam Airport	IR
OIBK	Kish International Airport	IR
OIBL	Bandar Lengeh International Airport	IR
OIBP	Persian Gulf International Airport	IR
OIBQ	Khark Airport	IR
OIBS	Siri Airport	IR
OIBV	Lavan Airport	IR
OICC	Shahid Ashrafi Esfahani Airport	IR
OICI	Ilam Airport	IR
OICK	Khoram Abad Airport	IR
OICS	Sanandaj Airport	IR
OIFK	Kashan Airport	IR
OIFM	Isfahan Shahid Beheshti International Airport	IR
OIFP	Badr Air Base	IR
OIFS	Shahrekord Airport	IR
OIGG	Sardar-e-Jangal Airport	IR
OIHH	Hamadan Airport	IR
OIHS	Nojeh Air Base	IR
OIIE	Imam Khomeini International Airport	IR
OIII	Mehrabad International Airport	IR
OIIK	Qazvin Airport	IR
OIIM	Naja Airport	IR
OIIP	Payam Karaj International Airport	IR
OIKB	Bandar Abbas International Airport	IR
OIKJ	Jiroft Airport	IR
OIKK	Ayatollah Hashemi Rafsanjani International Airport	IR
OIKM	Bam Airport	IR
OIKR	Rafsanjan Airport	IR
OIKY	Sirjan Airport	IR
OIMB	Birjand International Airport	IR
OIMC	Sarakhs Airport	IR
OIMM	Mashhad International Airport	IR
OIMN	Bojnord Airport	IR
OIMS	Sabzevar National Airport	IR
OIMT	Tabas Airport	IR
OING	Gorgan Airport	IR
OINN	Nowshahr Airport	IR
OINR	Ramsar Airport	IR
OINZ	Sari Dasht-e Naz International Airport	IR
OISF	Fasa Airport	IR
OISL	Lar Airport	IR
OISR	Lamerd Airport	IR
OISS	Shiraz Shahid Dastghaib International Airport	IR
OISY	Yasuj Airport	IR
OITL	Ardabil Airport	IR
OITR	Urmia Airport	IR
OITT	Tabriz International Airport	IR
OITZ	Zanjan Airport	IR
OIYY	Shahid Sadooghi Airport	IR
OIZB	Zabol Airport	IR
OIZC	Chabahar Konarak International Airport	IR
OIZH	Zahedan International Airport	IR
OIZI	Iranshahr Airport	IR
OJAI	Queen Alia International Airport	JO
OJAM	Amman Civil (Marka International) Airport	JO
OJAQ	Aqaba King Hussein International Airport	JO
OJMS	Muwaffaq Salti Air Base	JO
OKAJ	Ahmed Al Jaber Air Base	KW
OKAS	Ali Al Salem Air Base	KW
OKBK	Kuwait International Airport	KW
OLBA	Beirut Rafic Hariri International Airport	LB
OLKA	Rene Mouawad Air Base / Kleyate Airport	LB
OLRA	Rayak Air Base	LB
OM-0003	Duqm International Airport	OM
OM-0004	Mussanah Airport	OM
OM-0007	Ras Al Hadd Airport	OM
OMAA	Abu Dhabi International Airport	AE
OMAD	Al Bateen Executive Airport	AE
OMAL	Al Ain International Airport	AE
OMAM	Al Dhafra Air Base	AE
OMBY	Sir Bani Yas Airport	AE
OMDB	Dubai International Airport	AE
OMDM	Al Minhad Air Base	AE
OMDW	Al Maktoum International Airport	AE
OMFJ	Fujairah International Airport	AE
OMRK	Ras Al Khaimah International Airport	AE
OMSJ	Sharjah International Airport	AE
OOKB	Khasab Airport	OM
OOMA	RAFO Masirah	OM
OOMS	Muscat International Airport	OM
OOSA	Salalah Airport	OM
OOTH	Thumrait Air Base	OM
OP12	Shamsi Airfield	PK
OPBW	Bahawalpur Airport	PK
OPCH	Chitral Airport	PK
OPDG	Dera Ghazi Khan Airport	PK
OPDI	Dera Ismael Khan Airport	PK
OPFA	Faisalabad International Airport	PK
OPGD	Gwadar International Airport	PK
OPGT	Gilgit Airport	PK
OPIS	Islamabad International Airport	PK
OPJA	Shahbaz Air Base	PK
OPKC	Jinnah International Airport	PK
OPLA	Allama Iqbal International Airport	PK
OPLH	Walton Airport	PK
OPMA	Mangla Airport	PK
OPMF	Muzaffarabad Airport	PK
OPMI	Mianwali Air Base	PK
OPMJ	Moenjodaro Airport	PK
OPMR	Masroor Air Base	PK
OPMS	Minhas Air Base	PK
OPMT	Multan International Airport	PK
OPNH	Shaheed Benazirabad Airport	PK
OPPG	Panjgur Airport	PK
OPPI	Pasni Airport	PK
OPPS	Peshawar International Airport	PK
OPQT	Quetta International Airport	PK
OPRK	Shaikh Zaid Airport	PK
OPRQ	Rafiqui Air Base	PK
OPRS	Risalpur Air Base	PK
OPRT	Rawalakot Airport	PK
OPSD	Skardu Airport	PK
OPSF	Faisal Air Base	PK
OPSK	Sukkur Airport	PK
OPSN	Sehwan Sharif Airport	PK
OPSR	Mushaf Air Base	PK
OPSS	Saidu Sharif Airport	PK
OPST	Sialkot International Airport	PK
OPSU	Sui Airport	PK
OPTU	Turbat International Airport	PK
OPZB	Zhob Airport	PK
ORAA	Al Asad Air Base	IQ
ORAT	Al Taqaddum Air Base	IQ
ORBD	Balad Southeast Airport / Joint Base Balad	IQ
ORBI	Baghdad International Airport / New Al Muthana Air Base	IQ
ORBM	Mosul International Airport	IQ
ORER	Erbil International Airport	IQ
ORKK	Kirkuk Air Base	IQ
ORMM	Basra International Airport	IQ
ORNI	Al Najaf International Airport	IQ
ORQW	Qayyarah West Airport	IQ
ORSH	Al Sahra Army Air Field	IQ
ORSU	Sulaymaniyah International Airport	IQ
ORTF	Tall Afar Army Air Field	IQ
ORTI	Al Taji Army Air Field	IQ
ORTL	Ali Air Base	IQ
ORUB	Ubaydah Bin Al Jarrah Airport	IQ
OS57	Abu ad Duhur Air Base	SY
OS64	An Nasiriyah Air Base	SY
OS69	Khalkhalah Air Base	SY
OS70	Al Qusayr Air Base	SY
OSAP	Aleppo International Airport	SY
OSDI	Damascus International Airport	SY
OSDZ	Deir ez-Zor Airport	SY
OSKL	Qamishli Airport	SY
OSLK	Bassel Al-Assad International Airport	SY
OSPR	Palmyra Airport	SY
OTBD	Doha International Airport	QA
OTBH	Al Udeid Air Base	QA
OTHH	Hamad International Airport	QA
OY74	Al Anad Air Base	YE
OYAA	Aden International Airport	YE
OYAT	Ataq Airport	YE
OYGD	Al Ghaydah International Airport	YE
OYHD	Hodeidah International Airport	YE
OYRN	Riyan Mukalla International Airport	YE
OYSN	Sana'a International Airport	YE
OYSQ	Socotra International Airport	YE
OYSY	Seiyun Hadhramaut International Airport	YE
OYTZ	Ta'izz International Airport	YE
OZG	Zagora Airport	MA
PAAQ	Warren "Bud" Woods Palmer Municipal Airport	US
PABA	Barter Island Long Range Radar Station Airport	US
PABE	Bethel Airport	US
PABI	Allen Army Airfield	US
PABL	Buckland Airport	US
PABR	Wiley Post Will Rogers Memorial Airport	US
PABT	Bettles Airport	US
PABV	Birchwood Airport	US
PACD	Cold Bay Airport	US
PACL	Clear Airport	US
PACM	Scammon Bay Airport	US
PACV	Merle K (Mudhole) Smith Airport	US
PACZ	Cape Romanzof LRRS Airport	US
PADE	Deering Airport	US
PADK	Adak Airport	US
PADL	Dillingham Airport	US
PADM	Marshall Don Hunter Sr Airport	US
PADQ	Kodiak Airport	US
PADU	Tom Madsen (Dutch Harbor) Airport	US
PAED	Elmendorf Air Force Base	US
PAEH	Cape Newenham LRRS Airport	US
PAEI	Eielson Air Force Base	US
PAEM	Emmonak Airport	US
PAEN	Kenai Municipal Airport	US
PAFA	Fairbanks International Airport	US
PAFB	Ladd Army Airfield	US
PAFE	Kake Airport	US
PAFM	Ambler Airport	US
PAGA	Edward G. Pitka Sr Airport	US
PAGK	Gulkana Airport	US
PAGM	Gambell Airport	US
PAGS	Gustavus Airport	US
PAHC	Holy Cross Airport	US
PAHL	Huslia Airport	US
PAHN	Haines Airport	US
PAHO	Homer Airport	US
PAHP	Hooper Bay Airport	US
PAII	Egegik Airport	US
PAIK	Bob Baker Memorial Airport	US
PAIL	Iliamna Airport	US
PAIM	Indian Mountain LRRS Airport	US
PAJN	Juneau International Airport	US
PAKN	King Salmon Airport	US
PAKP	Anaktuvuk Pass Airport	US
PAKT	Ketchikan International Airport	US
PAKW	Klawock Airport	US
PALU	Cape Lisburne LRRS Airport	US
PAMC	McGrath Airport	US
PAMR	Merrill Field	US
PAMY	Mekoryuk Airport	US
PANC	Ted Stevens Anchorage International Airport	US
PANI	Aniak Airport	US
PANN	Nenana Municipal Airport	US
PANT	Annette Island Airport	US
PANV	Anvik Airport	US
PAOM	Nome Airport	US
PAOR	Northway Airport	US
PAOT	Ralph Wien Memorial Airport	US
PAPB	St George Airport	US
PAPC	Port Clarence Coast Guard Station	US
PAPG	Petersburg James A Johnson Airport	US
PAPH	Port Heiden Airport	US
PAPM	Platinum Airport	US
PAQT	Nuiqsut Airport	US
PARC	Arctic Village Airport	US
PARY	Ruby Airport	US
PASA	Savoonga Airport	US
PASC	Deadhorse Airport	US
PASD	Sand Point Airport	US
PASH	Shishmaref Airport	US
PASI	Sitka Rocky Gutierrez Airport	US
PASM	St Mary's Airport	US
PASN	St Paul Island Airport	US
PASV	Sparrevohn LRRS Airport	US
PASX	Soldotna Airport	US
PASY	Eareckson Air Station	US
PATG	Togiak Airport	US
PATK	Talkeetna Airport	US
PATL	Tatalina LRRS Airport	US
PATQ	Atqasuk Edward Burnell Sr Memorial Airport	US
PAVD	Valdez Pioneer Field	US
PAVL	Kivalina Airport	US
PAWD	Seward Airport	US
PAWG	Wrangell Airport	US
PAWI	Wainwright Airport	US
PAWN	Noatak Airport	US
PAWS	Wasilla Airport	US
PAYA	Yakutat Airport	US
PCIS	Canton Island Airport	KI
PFYU	Fort Yukon Airport	US
PG-OPU	Balimo Airport	PG
PG-VMU	Baimuru Airport	PG
PGRO	Rota International Airport	MP
PGSN	Saipan International Airport	MP
PGUA	Andersen Air Force Base	GU
PGUM	Antonio B. Won Pat International Airport	GU
PGWT	Tinian International Airport	MP
PH-0001	Laguindingan International Airport	PH
PH-0073	Cagayan North International Airport	PH
PH-0462	Central Mindanao Airport	PH
PHBK	Barking Sands Airport	US
PHHN	Hana Airport	US
PHIK	Hickam Air Force Base	US
PHJH	Kapalua Airport	US
PHJR	Kalaeloa Airport	US
PHKO	Ellison Onizuka Kona International Airport at Keahole	US
PHLI	Lihue Airport	US
PHMK	Molokai Airport	US
PHMU	Waimea Kohala Airport	US
PHNG	Kaneohe Bay MCAS (Marion E. Carl Field) Airport	US
PHNL	Daniel K Inouye International Airport	US
PHNY	Lanai Airport	US
PHOG	Kahului Airport	US
PHTO	Hilo International Airport	US
PKMJ	Marshall Islands International Airport	MH
PKSA	Kaieteur International Airport	GY
PKWA	Bucholz Army Air Field	MH
PLCH	Cassidy International Airport	KI
PMDY	Henderson Field	UM
PPIZ	Point Lay LRRS Airport	US
PTKK	Chuuk International Airport	FM
PTPN	Pohnpei International Airport	FM
PTRO	Babelthuap Airport	PW
PTSA	Kosrae International Airport	FM
PTYA	Yap International Airport	FM
PWAK	Wake Island Airfield	UM
PY-0002	Aeropuerto Nacional de Coronel Oviedo	PY
PY-0043	Aeropuerto Nacional de Mayor Infante Rivarola	PY
PY-OLK	Aeropuerto Nacional de Fuerte Olimpo	PY
RCAY	Gangshan Air Force Base	TW
RCBS	Kinmen Airport	TW
RCDC	Pingtung South Airport	TW
RCDI	Longtan Air Base	TW
RCFG	Matsu Nangan Airport	TW
RCFN	Taitung Airport	TW
RCKH	Kaohsiung International Airport	TW
RCKU	Chiayi Airport	TW
RCKW	Hengchun Airport	TW
RCLY	Lanyu Airport	TW
RCMQ	Taichung International Airport / Ching Chuang Kang Air Base	TW
RCMT	Matsu Beigan Airport	TW
RCNN	Tainan International Airport / Tainan Air Base	TW
RCPO	Hsinchu Air Base	TW
RCQC	Penghu Magong Airport	TW
RCQS	Chihhang Air Base	TW
RCSQ	Pingtung North Airport	TW
RCSS	Taipei Songshan Airport	TW
RCTP	Taiwan Taoyuan International Airport	TW
RCYU	Hualien Airport	TW
RJAA	Narita International Airport	JP
RJAF	Shinshu-Matsumoto Airport	JP
RJAH	Ibaraki Airport / JASDF Hyakuri Air Base	JP
RJAW	Iwo Jima Airbase	JP
RJBB	Kansai International Airport	JP
RJBD	Nanki Shirahama Airport	JP
RJBE	Kobe Airport	JP
RJBT	Konotori Tajima Airport	JP
RJCB	Tokachi-Obihiro Airport	JP
RJCC	New Chitose Airport	JP
RJCH	Hakodate Airport	JP
RJCJ	JASDF Chitose Air Base	JP
RJCK	Kushiro Airport	JP
RJCM	Memanbetsu Airport	JP
RJCN	Nakashibetsu Airport	JP
RJCO	Sapporo Okadama Airport	JP
RJCS	JASDF Kenebetsu Airfield	JP
RJCT	Tokachi Airport	JP
RJCW	Wakkanai Airport	JP
RJDB	Iki Airport	JP
RJDC	Yamaguchi Ube Airport	JP
RJDT	Tsushima Airport	JP
RJEB	Monbetsu Airport	JP
RJEC	Asahikawa Airport	JP
RJEO	Okushiri Airport	JP
RJER	Rishiri Airport	JP
RJFA	JASDF Ashiya Air Base	JP
RJFC	Yakushima Airport	JP
RJFE	Fukue Airport	JP
RJFF	Fukuoka Airport	JP
RJFG	New Tanegashima Airport	JP
RJFK	Kagoshima Airport	JP
RJFM	Miyazaki Airport	JP
RJFO	Oita Airport	JP
RJFR	Kitakyushu Airport	JP
RJFS	Saga Airport	JP
RJFT	Kumamoto Airport	JP
RJFU	Nagasaki Airport	JP
RJFY	JMSDF Kanoya Air Base	JP
RJFZ	JASDF Tsuiki Air Base	JP
RJGG	Chubu Centrair International Airport	JP
RJKA	Amami Airport	JP
RJKB	Okinoerabu Airport	JP
RJKI	Kikai Airport	JP
RJKN	Tokunoshima Airport	JP
RJNA	Nagoya Airport / JASDF Komaki Air Base	JP
RJNF	Fukui Airport	JP
RJNG	Gifu Airport	JP
RJNH	JASDF Hamamatsu Air Base	JP
RJNK	Komatsu Airport / JASDF Komatsu Air Base	JP
RJNO	Oki Global Geopark Airport	JP
rjns	Mount Fuji Shizuoka Airport	JP
RJNT	Toyama Airport	JP
RJNW	Noto Satoyama Airport	JP
RJNY	JASDF Shizuhama Air Base	JP
RJOA	Hiroshima Airport	JP
RJOB	Okayama Momotaro Airport	JP
RJOC	Izumo Enmusubi Airport	JP
RJOF	JASDF Hofu Airfield	JP
RJOH	Yonago Kitaro Airport / JASDF Miho Air Base	JP
RJOI	Iwakuni Kintaikyo Airport / Marine Corps Air Station Iwakuni	JP
RJOK	Kochi Ryoma Airport	JP
RJOM	Matsuyama Airport	JP
RJOO	Osaka International Airport	JP
RJOR	Tottori Sand Dunes Conan Airport	JP
RJOS	Tokushima Awaodori Airport / JMSDF Tokushima Air Base	JP
RJOT	Takamatsu Airport	JP
RJOW	Iwami Airport	JP
RJOY	Yao Airport	JP
RJSA	Aomori Airport	JP
RJSC	Yamagata Airport	JP
RJSD	Sado Airport	JP
RJSF	Fukushima Airport	JP
RJSH	JMSDF Hachinohe Air Base / Hachinohe Airport	JP
RJSI	Iwate Hanamaki Airport	JP
RJSK	Akita Airport	JP
RJSM	Misawa Air Base / Misawa Airport	JP
RJSN	Niigata Airport	JP
RJSR	Odate Noshiro Airport	JP
